API,API,
Access Token,Toegangspunt,
Admin,admin,
Amended From,Gewysig Van,
Blocked,geblokkeer,
Cancelled,gekanselleer,
Closed,gesluit,
Completed,voltooi,
Confirmed,bevestig,
Date,datum,
Draft,Konsep,
Exception Type,Uitsondering Tipe,
Expired,verstryk,
Friday,Vrydag,
Is Active,Is aktief,
Keyboard Shortcuts,Sleutelbord kortpaaie,
Location,plek,
Monday,Maandag,
Provider,verskaffer,
Reason,rede,
Reference DocType,Verwysingsdokumenttipe,
Reference Name,Verwysingsnaam,
Refresh Token,Refresh Token,
Reload,Reload,
Revoked,herroep,
Room,kamer,
Saturday,Saterdag,
Scopes,bestekke,
Service,diens,
Session Defaults,Sessie verstek,
Source,Bron,
Start Time,Begin Tyd,
Status,status,
Sunday,Sondag,
System Manager,Stelselbestuurder,
Thursday,Donderdag,
Tuesday,Dinsdag,
View Website,Besigtig webwerf,
Wednesday,Woensdag,
created,geskep,
on_submit,on_submit,
