API,API,
Access Token,Токен за достъп,
Admin,Admin,
Amended From,Променен от,
Blocked,блокиран,
Cancelled,Отменен,
Closed,Затворен,
Completed,завършен,
Confirmed,Потвърден,
Date,Дата,
Draft,проект,
Exception Type,Тип Изключение,
Expired,Изтекъл,
Friday,Петък,
Is Active,Е активен,
Keyboard Shortcuts,Комбинация от клавиши,
Location,Местоположение,
Monday,Понеделник,
Provider,доставчик,
Reason,Причина,
Reference DocType,Референтен DocType,
Reference Name,Референтно име,
Refresh Token,Обновяване Token,
Reload,Презареди,
Revoked,Отменен,
Room,Стая,
Saturday,Събота,
Scopes,Скоупс,
Service,Обслужване,
Session Defaults,Сесия по подразбиране,
Source,Източник,
Start Time,Начален Час,
Status,Статус,
Sunday,Неделя,
System Manager,Мениджър на система,
Thursday,Четвъртък,
Tuesday,Вторник,
View Website,Виж Website,
Wednesday,Сряда,
created,създаден,
on_submit,on_submit,
