API,API,
About,O,
Access Token,Pristupni token,
Amended From,Izmijenjeno od,
Apps,Aplikacije,
Blocked,Blokirano,
Cancelled,Otkazano,
Closed,Zatvoreno,
Completed,Završeno,
Confirmed,Potvrđeno,
Date,Datum,
Draft,Nacrt,
Expired,Isteklo,
Frappe Support,Frappe podrška,
Friday,Petak,
Is Active,Aktivan,
Keyboard Shortcuts,Prečice na tastaturi,
Location,Lokacija,
Log out,Odjava,
Monday,Ponedjeljak,
My Profile,Moj profil,
My Settings,Moje postavke,
Provider,Davatelj,
Reason,Razlog,
Reference DocType,Referentni DocType,
Reference Name,Referentni Naziv,
Refresh Token,Osvježi Token,
Reload,Ponovo učitaj,
Revoked,Opozvano,
Saturday,Subota,
Scopes,Opsezi,
Service,Servis,
Session Defaults,Sesije zadano,
Source,Izvor,
Start Time,Vrijeme Početka,
Status,Status,
Sunday,Nedjelja,
System Manager,Upravitelj Sistema,
Thursday,Četvrtak,
Toggle Full Width,Prebaci punu širinu,
Toggle Theme,Prebaci temu,
Tuesday,Utorak,
View Website,Pogledaj web stranicu,
Wednesday,Srijeda,
failed,neuspješno,
on_submit,na_podnošenju,
