API,API,
Access Token,Token d'accés,
Admin,Administrador,
Amended From,Modificada Des de,
Blocked,obstruït,
Cancelled,CANCERAT,
Closed,Tancat,
Completed,Acabat,
Confirmed,Confirmat,
Date,Data,
Draft,Esborrany,
Exception Type,Tipus d&#39;excepció,
Expired,Caducat,
Friday,Divendres,
Is Active,Està actiu,
Keyboard Shortcuts,Dreceres de teclat,
Location,Ubicació,
Monday,Dilluns,
Provider,Proveïdor,
Reason,Raó,
Reference DocType,DocType de referència,
Reference Name,Nom de referència,
Refresh Token,actualitzar Token,
Reload,Recarregar,
Revoked,revocat,
Room,habitació,
Saturday,Dissabte,
Scopes,Scopes,
Service,Servei,
Session Defaults,Defectes predeterminats de la sessió,
Source,Font,
Start Time,Hora d'inici,
Status,Estat,
Sunday,Diumenge,
System Manager,Administrador del sistema,
Thursday,Dijous,
Tuesday,Dimarts,
View Website,Veure Lloc Web,
Wednesday,Dimecres,
created,creat,
on_submit,on_submit,
