API,API,
Access Token,Přístupový Token,
Admin,Správce,
Amended From,Platném znění,
Blocked,Blokovaný,
Cancelled,Zrušeno,
Closed,Zavřeno,
Completed,Dokončeno,
Confirmed,Potvrzeno,
Date,Datum,
Draft,Návrh,
Exception Type,Typ výjimky,
Expired,Vypršela,
Friday,Pátek,
Is Active,Je Aktivní,
Keyboard Shortcuts,Klávesové zkratky,
Location,Místo,
Monday,Pondělí,
Provider,Poskytovatel,
Reason,Důvod,
Reference DocType,Referenční DocType,
Reference Name,Referenční název,
Refresh Token,Obnovit Token,
Reload,Znovu načíst,
Revoked,zrušena,
Room,Pokoj,
Saturday,Sobota,
Scopes,scopes,
Service,Služba,
Session Defaults,Výchozí nastavení relace,
Source,Zdroj,
Start Time,Start Time,
Status,Stav,
Sunday,Neděle,
System Manager,Správce systému,
Thursday,Čtvrtek,
Tuesday,Úterý,
View Website,K webové stránce,
Wednesday,Středa,
created,vytvořeno,
on_submit,on_submit,
