API,API,
Access Token,Adgangs token,
Admin,Admin,
Amended From,Ændret Fra,
Blocked,Blokeret,
Cancelled,Annulleret,
Closed,Lukket,
Completed,Afsluttet,
Confirmed,Bekræftet,
Date,Dato,
Draft,Udkast,
Exception Type,Undtagelsestype,
Expired,Udløbet,
Friday,Fredag,
Is Active,Er Aktiv,
Keyboard Shortcuts,Tastaturgenveje,
Location,Lokation,
Monday,Mandag,
Provider,provider,
Reason,Årsag,
Reference DocType,Reference DocType,
Reference Name,Reference navn,
Refresh Token,Opdater Token,
Reload,Genindlæs,
Revoked,Tilbagekaldt,
Room,Værelse,
Saturday,Lørdag,
Scopes,Scopes,
Service,Service,
Session Defaults,Standard for session,
Source,Kilde,
Start Time,Start Time,
Status,Status,
Sunday,Søndag,
System Manager,System Manager,
Thursday,Torsdag,
Tuesday,Tirsdag,
View Website,Se hjemmeside,
Wednesday,Onsdag,
created,lavet,
on_submit,on_submit,
