API,API,
About,Über,
Access Token,Zugriffstoken,
Amended From,Berichtigung von,
Apps,Apps,
Blocked,Gesperrt,
Cancelled,Abgesagt,
Closed,Geschlossen,
Completed,Abgeschlossen,
Confirmed,Bestätigt,
Date,Datum,
Draft,Entwurf,
Expired,Verfallen,
Frappe Support,Frappe Support,
Friday,Freitag,
Is Active,Ist aktiv(iert),
Keyboard Shortcuts,Tastaturkürzel,
Location,Ort,
Log out,Abmelden,
Monday,Montag,
My Profile,Mein Profil,
My Settings,Meine Einstellungen,
Provider,Anbieter,
Reason,Grund,
Reference DocType,Referenz DocType,
Reference Name,Referenzname,
Refresh Token,Aktualisieren Token,
Reload,Neu laden,
Revoked,Gesperrte,
Saturday,Samstag,
Scopes,Geltungsbereiche,
Service,Dienst,
Session Defaults,Sitzungsstandards,
Source,Quelle,
Start Time,Startzeit,
Status,Status,
Sunday,Sonntag,
System Manager,System-Manager,
Thursday,Donnerstag,
Toggle Full Width,Breite wechseln,
Toggle Theme,Theme wechseln,
Tuesday,Dienstag,
View Website,Webseite anzeigen,
Wednesday,Mittwoch,
failed,fehlgeschlagen,
on_submit,on_submit,
