API,API,
Access Token,Η πρόσβαση παραχωρήθηκε,
Admin,διαχειριστής,
Amended From,Τροποποίηση από,
Blocked,Αποκλεισμένοι,
Cancelled,Ακυρώθηκε,
Closed,Κλειστό,
Completed,Ολοκληρώθηκε,
Confirmed,Επιβεβαιώθηκε,
Date,Ημερομηνία,
Draft,Προσχέδιο,
Exception Type,Εξαίρεση Τύπος,
Expired,Έληξε,
Friday,Παρασκευή,
Is Active,Είναι ενεργό,
Keyboard Shortcuts,Συντομεύσεις πληκτρολογίου,
Location,Τοποθεσία,
Monday,Δευτέρα,
Provider,Προμηθευτής,
Reason,Αιτιολογία,
Reference DocType,DocType αναφοράς,
Reference Name,όνομα αναφοράς,
Refresh Token,Ανανέωση Token,
Reload,Επαναφόρτωση,
Revoked,ανακλήθηκε,
Room,Δωμάτιο,
Saturday,Σάββατο,
Scopes,τηλεσκόπια,
Service,Υπηρεσία,
Session Defaults,Προεπιλογές περιόδου σύνδεσης,
Source,Πηγή,
Start Time,Ώρα έναρξης,
Status,Κατάσταση,
Sunday,Κυριακή,
System Manager,Διαχειριστής συστήματος,
Thursday,Πέμπτη,
Tuesday,Τρίτη,
View Website,Δείτε την ιστοσελίδα,
Wednesday,Τετάρτη,
created,δημιουργήθηκε,
on_submit,on_submit,
