API,API,
Access Token,Access Token,
Admin,Administraator,
Amended From,Muudetud From,
Blocked,blokeeritud,
Cancelled,Tühistatud,
Closed,Suletud,
Completed,Valminud,
Confirmed,Kinnitatud,
Date,Kuupäev,
Draft,Mustand,
Exception Type,Erand Type,
Expired,Aegunud,
Friday,Reede,
Is Active,Kas Active,
Keyboard Shortcuts,Klaviatuuri otseteed,
Location,Asukoht,
Monday,Esmaspäev,
Provider,Pakkuja,
Reason,Põhjus,
Reference DocType,Viide DocType,
Reference Name,Viitenimi,
Refresh Token,Värskenda žetooni,
Reload,Reload,
Revoked,tühistatud,
Room,ruum,
Saturday,Laupäev,
Scopes,õppesuuna,
Service,Teenus,
Session Defaults,Seansi vaikeväärtused,
Source,Allikas,
Start Time,Algusaeg,
Status,Staatus,
Sunday,Pühapäev,
System Manager,Süsteemihaldur,
Thursday,Neljapäev,
Tuesday,Teisipäev,
View Website,Vaata Koduleht,
Wednesday,Kolmapäev,
created,loodud,
on_submit,on_submit,
