API,API,
About,درباره,
Access Token,توکن دسترسی,
Amended From,اصلاح شده از,
Apps,برنامه ها,
Blocked,مسدود,
Cancelled,لغو شده,
Closed,بسته شده,
Completed,تکمیل شده,
Confirmed,تایید شده,
Date,تاریخ,
Draft,پیش‌نویس,
Expired,منقضی شده,
Frappe Support,پشتیبانی Frappe,
Friday,جمعه,
Is Active,فعال است,
Keyboard Shortcuts,میانبرهای صفحه کلید,
Location,محل,
Log out,خروج,
Monday,دوشنبه,
My Profile,نمایه من,
My Settings,تنظیمات من,
Provider,ارائه دهنده,
Reason,دلیل,
Reference DocType,DocType مرجع,
Reference Name,نام مرجع,
Refresh Token,Refresh Token,
Reload,بارگذاری مجدد,
Revoked,لغو شد,
Saturday,شنبه,
Scopes,محدوده ها,
Service,سرویس,
Session Defaults,پیش‌فرض‌های نشست,
Source,منبع,
Start Time,زمان شروع,
Status,وضعیت,
Sunday,یک‌شنبه,
System Manager,مدیر سیستم,
Thursday,پنج‌شنبه,
Toggle Full Width,تغییر وضعیت عرض کامل,
Toggle Theme,تغییر تم,
Tuesday,سه‌شنبه,
View Website,مشاهده وب سایت,
Wednesday,چهارشنبه,
failed,ناموفق,
on_submit,on_submit,
