API,API,
Access Token,Access Token,
Admin,admin,
Amended From,Korjattu mistä,
Blocked,tukossa,
Cancelled,peruttu,
Closed,suljettu,
Completed,valmistunut,
Confirmed,Vahvistettu,
Date,Päiväys,
Draft,Laatia,
Exception Type,Poikkeus Tyyppi,
Expired,vanhentunut,
Friday,perjantai,
Is Active,aktiivinen,
Keyboard Shortcuts,Pikanäppäimet,
Location,Sijainti,
Monday,Maanantai,
Provider,toimittaja,
Reason,Syy,
Reference DocType,Viite DocType,
Reference Name,Viitenimi,
Refresh Token,Päivitä Token,
Reload,Päivitä,
Revoked,peruutettu,
Room,Huone,
Saturday,Lauantai,
Scopes,kaukoputket,
Service,Palvelu,
Session Defaults,Istunnon oletukset,
Source,Lähde,
Start Time,aloitusaika,
Status,Tila,
Sunday,sunnuntai,
System Manager,Järjestelmän ylläpitäjä,
Thursday,Torstai,
Tuesday,tiistai,
View Website,Näytä verkkosivusto,
Wednesday,Keskiviikko,
created,luotu,
on_submit,on_submit,
