API,API,
About,A Propos,
Access Token,Jeton d'Accès,
Amended From,Modifié Depuis,
Blocked,Bloqué,
Cancelled,Annulé,
Closed,Fermé,
Completed,Terminé,
Confirmed,Confirmé,
Draft,Brouillon,
Expired,Expiré,
Friday,Vendredi,
Is Active,Est Active,
Keyboard Shortcuts,Raccourcis clavier,
Location,Lieu,
Monday,Lundi,
My Profile,Mon profil,
My Settings,Mes paramètres,
Provider,Fournisseur,
Reason,Raison,
Reference DocType,Référence DocType,
Reference Name,Nom de référence,
Refresh Token,Jeton de Rafraîchissement,
Reload,Recharger,
Revoked,Révoqué,
Saturday,Samedi,
Session Defaults,Session par défaut,
Start Time,Heure de Début,
Status,Statut,
Sunday,Dimanche,
System Manager,Responsable Système,
Thursday,Jeudi,
Toggle Full Width,Changer l&#39;affichage en pleine largeur,
Toggle Theme,Basculer le thème,
Tuesday,Mardi,
View Website,Voir Le Site Web,
Wednesday,Mercredi,
failed,échoué,
