API,API,
Access Token,ઍક્સેસ ટોકન,
Admin,એડમિન,
Amended From,સુધારો,
Blocked,અવરુદ્ધ,
Cancelled,રદ,
Closed,બંધ,
Completed,પૂર્ણ,
Confirmed,પુષ્ટિ,
Date,તારીખ,
Draft,ડ્રાફ્ટ,
Exception Type,અપવાદ પ્રકાર,
Expired,સમાપ્ત,
Friday,શુક્રવારે,
Is Active,સક્રિય છે,
Keyboard Shortcuts,કીબોર્ડ શૉર્ટકટ્સ,
Location,સ્થાન,
Monday,સોમવારે,
Provider,પ્રદાતા,
Reason,કારણ,
Reference DocType,સંદર્ભ ડોકટાઇપ,
Reference Name,સંદર્ભ નામ,
Refresh Token,પુનઃતાજું ટોકન,
Reload,ફરી લાવો,
Revoked,રદ,
Room,રૂમ,
Saturday,શનિવારે,
Scopes,સ્કોપ્સ,
Service,સેવા,
Session Defaults,સત્ર ડિફોલ્ટ્સ,
Source,સોર્સ,
Start Time,પ્રારંભ સમય,
Status,સ્થિતિ,
Sunday,રવિવારે,
System Manager,સિસ્ટમ વ્યવસ્થાપક,
Thursday,ગુરુવારે,
Tuesday,મંગળવારે,
View Website,વેબસાઇટ જુઓ,
Wednesday,બુધવારે,
created,બનાવનાર,
on_submit,on_submit,
