API,API,
About,O,
Access Token,Pristupni Token,
Admin,Admin,
Amended From,Izmijenjena Od,
Blocked,Blokiran,
Cancelled,OTKAZANO,
Closed,Zatvoreno,
Completed,Dovršen,
Confirmed,potvrđen,
Date,Datum,
Draft,Nacrt,
Exception Type,Iznimka Tip,
Expired,Istekla,
Friday,Petak,
Is Active,Je aktivan,
Keyboard Shortcuts,Prečice na tipkovnici,
Location,Lokacija,
Monday,Ponedjeljak,
Provider,davatelj,
Reason,Razlog,
Reference DocType,Referentni DocType,
Reference Name,Naziv poveznice,
Refresh Token,Osvježi token,
Reload,Reload,
Revoked,Poništen,
Room,Soba,
Saturday,Subota,
Scopes,Rasponi,
Service,usluga,
Session Defaults,Zadani zadaci sesije,
Source,Izvor,
Start Time,Vrijeme početka,
Status,Status,
Sunday,Nedjelja,
System Manager,Sustav Manager,
Thursday,Četvrtak,
Tuesday,Utorak,
View Website,Pogledaj web stranicu,
Wednesday,Srijeda,
created,Napravljeno,
on_submit,on_submit,
