API,API,
Access Token,Hozzáférési token,
Admin,Admin,
Amended From,Módosított feladója,
Blocked,Zárolt,
Cancelled,Törölve,
Closed,Lezárva,
Completed,Befejezve,
Confirmed,Megerősített,
Date,Dátum,
Draft,vázlat,
Exception Type,Kivétel típusa,
Expired,Lejárt,
Friday,Péntek,
Is Active,Ez aktív,
Keyboard Shortcuts,Gyorsbillentyűket,
Location,Tartózkodási hely,
Monday,Hétfő,
Provider,Ellátó,
Reason,Ok,
Reference DocType,Referencia DocType,
Reference Name,Referencia név,
Refresh Token,Token frissítése,
Reload,Reload,
Revoked,visszavont,
Room,Szoba,
Saturday,Szombat,
Scopes,Hatáskör,
Service,Szervíz,
Session Defaults,Munkamenet alapértelmezései,
Source,Forrás,
Start Time,Kezdés ideje,
Status,Állapot,
Sunday,Vasárnap,
System Manager,Rendszer menedzser,
Thursday,Csütörtök,
Tuesday,Kedd,
View Website,Weboldal megtekintése,
Wednesday,Szerda,
created,Alkotó,
on_submit,on_submit,
