API,API,
Access Token,Akses Token,
Admin,Admin,
Amended From,Diubah Dari,
Blocked,Diblokir,
Cancelled,Dibatalkan,
Closed,Tertutup,
Completed,Selesai,
Confirmed,Dikonfirmasi,
Date,Tanggal,
Draft,Draf,
Exception Type,Pengecualian Jenis,
Expired,Expired,
Friday,Jum'at,
Is Active,Aktif,
Keyboard Shortcuts,Pintasan keyboard,
Location,Lokasi,
Monday,Senin,
Provider,Pemberi,
Reason,Alasan,
Reference DocType,Referensi DocType,
Reference Name,nama referensi,
Refresh Token,Segarkan Token,
Reload,Mengisi kembali,
Revoked,dicabut,
Room,Kamar,
Saturday,Sabtu,
Scopes,lingkup,
Service,Jasa,
Session Defaults,Default Sesi,
Source,Sumber,
Start Time,Waktu Mulai,
Status,Status,
Sunday,Minggu,
System Manager,System Manager,
Thursday,Kamis,
Tuesday,Selasa,
View Website,Lihat Situs Web,
Wednesday,Rabu,
created,dibuat,
on_submit,on_submit,
