API,API,
Access Token,aðgangur Token,
Admin,Admin,
Amended From,breytt Frá,
Blocked,Bannaður,
Cancelled,Hætt við,
Closed,lokað,
Completed,lokið,
Confirmed,staðfest,
Date,Dagsetning,
Draft,Drög,
Exception Type,undantekning Type,
Expired,útrunnið,
Friday,föstudagur,
Is Active,er Active,
Keyboard Shortcuts,Flýtilyklar,
Location,Staðsetning,
Monday,Mánudagur,
Provider,Útgefandi,
Reason,Ástæðan,
Reference DocType,Tilvísun DocType,
Reference Name,Tilvísunarnafn,
Refresh Token,Uppfæra Token,
Reload,endurhlaða,
Revoked,afturkallað,
Room,Room,
Saturday,laugardagur,
Scopes,mælar,
Service,þjónusta,
Session Defaults,Sjálfgefin seta,
Source,Source,
Start Time,Byrjunartími,
Status,Staða,
Sunday,sunnudagur,
System Manager,System Manager,
Thursday,fimmtudagur,
Tuesday,þriðjudagur,
View Website,view Website,
Wednesday,miðvikudagur,
created,Búið til,
on_submit,on_submit,
