API,API,
Access Token,Token di accesso,
Admin,Admin,
Amended From,Corretto da,
Blocked,Bloccato,
Cancelled,Annullato,
Closed,Chiuso,
Completed,Completato,
Confirmed,Confermato,
Date,Data,
Draft,Bozza,
Exception Type,Tipo eccezione,
Expired,Scaduto,
Friday,Venerdì,
Is Active,È attivo,
Keyboard Shortcuts,Tasti rapidi,
Location,Posizione,
Monday,Lunedi,
Provider,Provider,
Reason,Motivo,
Reference DocType,Riferimento DocType,
Reference Name,nome di riferimento,
Refresh Token,Aggiorna Token,
Reload,Aggiorna,
Revoked,revocato,
Room,Camera,
Saturday,Sabato,
Scopes,Scopes,
Service,servizio,
Session Defaults,Sessioni predefinite,
Source,Fonte,
Start Time,Ora di inizio,
Status,Stato,
Sunday,Domenica,
System Manager,System Manager,
Thursday,Giovedì,
Tuesday,Martedì,
View Website,Visualizza sito web,
Wednesday,Mercoledì,
created,creato,
on_submit,on_submit,
