API,API,
Access Token,アクセストークン,
Admin,管理者,
Amended From,修正元,
Blocked,ブロック済,
Cancelled,キャンセル,
Closed,クローズ,
Completed,完了,
Confirmed,確認済,
Date,日付,
Draft,ドラフト,
Exception Type,例外タイプ,
Expired,期限切れ,
Friday,金曜日,
Is Active,アクティブ,
Keyboard Shortcuts,キーボードショートカット,
Location,場所,
Monday,月曜日,
Provider,プロバイダ,
Reason,理由,
Reference DocType,参照DocType,
Reference Name,参照名,
Refresh Token,トークン再発行,
Reload,リロード,
Revoked,失効,
Room,教室,
Saturday,土曜日,
Scopes,スコープス,
Service,サービス,
Session Defaults,セッションのデフォルト,
Source,ソース,
Start Time,開始時間,
Status,ステータス,
Sunday,日曜日,
System Manager,システム管理者,
Thursday,木曜日,
Tuesday,火曜日,
View Website,ウェブサイトを見る,
Wednesday,水曜日,
created,作成済,
on_submit,on_submit,
