API,API,
Access Token,ការចូលដំណើរការ Token,
Admin,អ្នកគ្រប់គ្រង,
Amended From,ធ្វើវិសោធនកម្មពី,
Blocked,បានទប់ស្កាត់,
Cancelled,បានកាត់បន្ថយ,
Closed,បានបិទ,
Completed,បានបញ្ចប់,
Confirmed,បានបញ្ជាក់ថា,
Date,កាលបរិច្ឆេទ,
Draft,សេចក្តីព្រាង,
Exception Type,ប្រភេទករណីលើកលែង,
Expired,ផុតកំណត់,
Friday,ថ្ងៃសុក្រ,
Is Active,គឺជាសកម្ម,
Keyboard Shortcuts,ផ្លូវកាត់ក្តារចុច។,
Location,ទីតាំង,
Monday,កាលពីថ្ងៃចន្ទ,
Provider,ក្រុមហ៊ុនផ្គត់ផ្គង់,
Reason,ហេតុផល,
Reference DocType,ឯកសារយោងប្រភេទឯកសារ,
Reference Name,ឈ្មោះយោង,
Refresh Token,ធ្វើឱ្យស្រស់ Token,
Reload,ផ្ទុកឡើងវិញ,
Revoked,ដកហូត,
Room,បន្ទប់,
Saturday,ថ្ងៃសៅរ៍,
Scopes,វិសាលភាព,
Service,សេវាកម្ម,
Session Defaults,លំនាំដើមវេន។,
Source,ប្រភព,
Start Time,ពេលវេលាចាប់ផ្ដើម,
Status,ស្ថានភាព,
Sunday,កាលពីថ្ងៃអាទិត្យ,
System Manager,ប្រព័ន្ធអ្នកគ្រប់គ្រង,
Thursday,ថ្ងៃព្រហស្បតិ៍,
Tuesday,កាលពីថ្ងៃអង្គារ,
View Website,មើលគេហទំព័រ,
Wednesday,ថ្ងៃពុធ,
created,បានបង្កើតកំណត់,
on_submit,on_submit,
