API,API,
Access Token,ಪ್ರವೇಶ ಟೋಕನ್,
Admin,ನಿರ್ವಹಣೆ,
Amended From,ಗೆ ತಿದ್ದುಪಡಿ,
Blocked,ನಿರ್ಬಂಧಿಸಿದ,
Cancelled,ರದ್ದುಗೊಳಿಸಲಾಗಿದೆ,
Closed,ಮುಚ್ಚಲಾಗಿದೆ,
Completed,ಪೂರ್ಣಗೊಂಡಿದೆ,
Confirmed,ದೃಢಪಡಿಸಿದರು,
Date,ದಿನಾಂಕ,
Draft,ಡ್ರಾಫ್ಟ್,
Exception Type,ಎಕ್ಸೆಪ್ಶನ್,
Expired,ಅವಧಿ,
Friday,ಶುಕ್ರವಾರ,
Is Active,ಸಕ್ರಿಯವಾಗಿದೆ,
Keyboard Shortcuts,ಕೀಬೋರ್ಡ್ ಶಾರ್ಟ್‌ಕಟ್‌ಗಳು,
Location,ಸ್ಥಳ,
Monday,ಸೋಮವಾರ,
Provider,ಒದಗಿಸುವವರು,
Reason,ಕಾರಣ,
Reference DocType,ಉಲ್ಲೇಖ ಡಾಕ್ಟೈಪ್,
Reference Name,ಉಲ್ಲೇಖ ಹೆಸರು,
Refresh Token,ರಿಫ್ರೆಶ್ ಟೋಕನ್,
Reload,ರೀಲೋಡ್,
Revoked,ಹಿಂಪಡೆಯಲಾಗಿದೆ,
Room,ಕೊಠಡಿ,
Saturday,ಶನಿವಾರ,
Scopes,ವ್ಯಾಪ್ತಿಗಳು,
Service,ಸೇವೆ,
Session Defaults,ಸೆಷನ್ ಡೀಫಾಲ್ಟ್‌ಗಳು,
Source,ಮೂಲ,
Start Time,ಟೈಮ್,
Status,ಅಂತಸ್ತು,
Sunday,ಭಾನುವಾರ,
System Manager,ವ್ಯವಸ್ಥೆ ಮ್ಯಾನೇಜರ್,
Thursday,ಗುರುವಾರ,
Tuesday,ಮಂಗಳವಾರ,
View Website,ವೀಕ್ಷಿಸಿ ವೆಬ್ಸೈಟ್,
Wednesday,ಬುಧವಾರ,
created,ದಾಖಲಿಸಿದವರು,
on_submit,on_submit,
