API,API,
Access Token,액세스 토큰,
Admin,관리자,
Amended From,개정,
Blocked,막힌,
Cancelled,취소 된,
Closed,닫힘,
Completed,완료,
Confirmed,확인 된,
Date,날짜,
Draft,초안,
Exception Type,예외 유형,
Expired,만료,
Friday,금요일,
Is Active,활성,
Keyboard Shortcuts,키보드 단축키,
Location,위치,
Monday,월요일,
Provider,공급자,
Reason,이유,
Reference DocType,참조 DocType,
Reference Name,참조 이름,
Refresh Token,새로 고침 토큰,
Reload,다시로드,
Revoked,해지,
Room,방,
Saturday,토요일,
Scopes,범위,
Service,서비스,
Session Defaults,세션 기본값,
Source,소스,
Start Time,시작 시간,
Status,상태,
Sunday,일요일,
System Manager,시스템 관리자,
Thursday,목요일,
Tuesday,화요일,
View Website,웹 사이트보기,
Wednesday,수요일,
created,생성,
on_submit,on_submit,
