API,API,
Access Token,Têketinê Token,
Admin,Admin,
Amended From,de guherîn From,
Blocked,asteng kir,
Cancelled,CANCELED,
Closed,Girtî,
Completed,Qediya,
Confirmed,Confirmed,
Date,Rojek,
Draft,Draft,
Exception Type,Type îstîsna,
Expired,kapê de,
Friday,Roja Înê,
Is Active,çalak e,
Keyboard Shortcuts,Kurtikên Pêl,
Location,Cîh,
Monday,Duşem,
Provider,Provider,
Reason,Semed,
Reference DocType,DocType Reference,
Reference Name,Navê Referansê,
Refresh Token,Refresh Token,
Reload,Rûpelê,
Revoked,bêparkirin,
Room,Jûre,
Saturday,Şemî,
Scopes,Scopes,
Service,Xizmetkar,
Session Defaults,Session Defaults,
Source,Kanî,
Start Time,Time Start,
Status,Cî,
Sunday,Yekşem,
System Manager,sîstema Manager,
Thursday,Pêncşem,
Tuesday,Sêşem,
View Website,View Website,
Wednesday,Çarşem,
created,tên afirandin,
on_submit,on_submit,
