API,API,
Access Token,ການເຂົ້າເຖິງ Token,
Admin,Admin,
Amended From,ສະບັບປັບປຸງຈາກ,
Blocked,ສະກັດ,
Cancelled,ຫຼຸດລົງ,
Closed,ປິດ,
Completed,ສໍາເລັດ,
Confirmed,ການຢັ້ງຢືນ,
Date,ວັນທີ່ສະຫມັກ,
Draft,Draft,
Exception Type,ປະເພດຍົກເວັ້ນ,
Expired,ຫມົດອາຍຸແລ້ວ,
Friday,ສຸກ,
Is Active,ເປັນກິດຈະກໍາ,
Keyboard Shortcuts,ຄີບອດ,
Location,ສະຖານທີ່,
Monday,ຈັນ,
Provider,ຜູ້ໃຫ້ບໍລິການ,
Reason,ເຫດຜົນ,
Reference DocType,ເອກະສານອ້າງອີງ DocType,
Reference Name,ຊື່ເອກະສານອ້າງອີງ,
Refresh Token,Refresh Token,
Reload,ໂຫລດ,
Revoked,ຍົກເລີກ,
Room,ຫ້ອງ,
Saturday,ວັນເສົາ,
Scopes,ຂອບເຂດ,
Service,ການບໍລິການ,
Session Defaults,ຄ່າເລີ່ມຕົ້ນຂອງກອງປະຊຸມ,
Source,ແຫຼ່ງຂໍ້ມູນ,
Start Time,ທີ່ໃຊ້ເວລາເລີ່ມຕົ້ນ,
Status,ສະຖານະພາບ,
Sunday,ວັນອາທິດ,
System Manager,ຈັດການລະບົບ,
Thursday,ວັນພະຫັດ,
Tuesday,ວັນອັງຄານ,
View Website,ເບິ່ງເວັບໄຊທ໌,
Wednesday,ວັນພຸດ,
created,ສ້າງ,
on_submit,on_submit,
