API,API,
Access Token,Prieigos raktas,
Admin,Administratorius,
Amended From,Iš dalies pakeistas Nuo,
Blocked,Užblokuoti,
Cancelled,Atšauktas,
Closed,Uždaryta,
Completed,užbaigtas,
Confirmed,patvirtinta,
Date,Data,
Draft,Projektas,
Exception Type,išimtis tipas,
Expired,baigėsi,
Friday,penktadienis,
Is Active,yra aktyvus,
Keyboard Shortcuts,Klaviatūros nuorodos,
Location,vieta,
Monday,pirmadienis,
Provider,Tiekėjas,
Reason,priežastis,
Reference DocType,Nuoroda „DocType“,
Reference Name,Nuorodos pavadinimas,
Refresh Token,Atnaujinti ženklas,
Reload,Perkrauti,
Revoked,atšaukti,
Room,Kambarys,
Saturday,šeštadienis,
Scopes,Monokliai,
Service,tarnyba,
Session Defaults,Sesijos numatytieji nustatymai,
Source,šaltinis,
Start Time,Pradžios laikas,
Status,Statusas,
Sunday,sekmadienis,
System Manager,sistemos direktorius,
Thursday,ketvirtadienis,
Tuesday,antradienis,
View Website,Peržiūrėti svetainė,
Wednesday,trečiadienis,
created,sukurta,
on_submit,on_submit,
