API,API,
Access Token,Access Token,
Admin,Administrators,
Amended From,Grozīts No,
Blocked,bloķēts,
Cancelled,Atcelts,
Closed,Slēgts,
Completed,Pabeigts,
Confirmed,Apstiprināts,
Date,Datums,
Draft,Projekts,
Exception Type,Izņēmums Type,
Expired,Beidzies,
Friday,Piektdiena,
Is Active,Vai Active,
Keyboard Shortcuts,Tastatūras īsceļi,
Location,Vieta,
Monday,Pirmdiena,
Provider,Piegādātājs,
Reason,Iemesls,
Reference DocType,Atsauce DocType,
Reference Name,Atsauces nosaukums,
Refresh Token,Atsvaidzināt Token,
Reload,Pārlādēt,
Revoked,atsaukta,
Room,istaba,
Saturday,Sestdiena,
Scopes,jomu,
Service,Pakalpojums,
Session Defaults,Sesijas noklusējumi,
Source,Avots,
Start Time,Sākuma laiks,
Status,Stāvoklis,
Sunday,Svētdiena,
System Manager,System Manager,
Thursday,Ceturtdiena,
Tuesday,Otrdiena,
View Website,Skatīt Website,
Wednesday,Trešdiena,
created,izveidots,
on_submit,on_submit,
