API,API,
Access Token,Пристап знак,
Admin,Admin,
Amended From,Изменет Од,
Blocked,блокирани,
Cancelled,Откажано,
Closed,Затвори,
Completed,Завршено,
Confirmed,Потврди,
Date,Датум,
Draft,Нацрт,
Exception Type,Исклучок Тип,
Expired,Истечен,
Friday,Петок,
Is Active,Е активен,
Keyboard Shortcuts,Кратенки на тастатурата,
Location,Локација,
Monday,Понеделник,
Provider,Провајдер,
Reason,Причината,
Reference DocType,Референтен DocType,
Reference Name,Име на референца,
Refresh Token,Освежи токен,
Reload,Вчитај ја страната повторно,
Revoked,Одземени,
Room,соба,
Saturday,Сабота,
Scopes,домет,
Service,Услуги,
Session Defaults,Сесија стандардно,
Source,Извор,
Start Time,Почеток Време,
Status,Статус,
Sunday,Недела,
System Manager,Систем за менаџер,
Thursday,Четврток,
Tuesday,Вторник,
View Website,Преглед на веб-страница,
Wednesday,Среда,
created,Создаден,
on_submit,on_submit,
