API,API,
Access Token,അക്സസ് ടോക്കൺ,
Admin,അഡ്മിൻ,
Amended From,നിന്ന് ഭേദഗതി,
Blocked,തടഞ്ഞ,
Cancelled,റദ്ദാക്കി,
Closed,അടച്ചു,
Completed,പൂർത്തിയാക്കി,
Confirmed,സ്ഥിരീകരിച്ച,
Date,തീയതി,
Draft,ഡ്രാഫ്റ്റ്,
Exception Type,ഒഴിവാക്കൽ തരം,
Expired,കാലഹരണപ്പെട്ടു,
Friday,വെള്ളിയാഴ്ച,
Is Active,സജീവമായിട്ടുള്ള,
Keyboard Shortcuts,കീബോർഡ് കുറുക്കുവഴികൾ,
Location,സ്ഥാനം,
Monday,തിങ്കളാഴ്ച,
Provider,ദാതാവ്,
Reason,കാരണം,
Reference DocType,റഫറൻസ് ഡോക്‌ടൈപ്പ്,
Reference Name,റഫറൻസ് പേര്,
Refresh Token,പുതുക്കുക ടോക്കൺ,
Reload,വീണ്ടും ലോഡുചെയ്യുക,
Revoked,പിൻവലിച്ചു,
Room,ഇടം,
Saturday,ശനിയാഴ്ച,
Scopes,സ്കോപ്പുകൾ,
Service,സേവനം,
Session Defaults,സെഷൻ സ്ഥിരസ്ഥിതികൾ,
Source,ഉറവിടം,
Start Time,ആരംഭ സമയം,
Status,അവസ്ഥ,
Sunday,ഞായറാഴ്ച,
System Manager,സിസ്റ്റം മാനേജർ,
Thursday,വ്യാഴാഴ്ച,
Tuesday,ചൊവ്വാഴ്ച,
View Website,വെബ്സൈറ്റ് കാണുക,
Wednesday,ബുധനാഴ്ച,
created,സൃഷ്ടിച്ചത്,
on_submit,on_submit,
