API,API,
Access Token,प्रवेश टोकन,
Admin,प्रशासन,
Amended From,पासून दुरुस्ती,
Blocked,अवरोधित,
Cancelled,रद्द केले,
Closed,बंद,
Completed,पूर्ण,
Confirmed,पुष्टी,
Date,तारीख,
Draft,मसुदा,
Exception Type,अपवाद प्रकार,
Expired,कालबाह्य,
Friday,शुक्रवारी,
Is Active,सक्रिय आहे,
Keyboard Shortcuts,कीबोर्ड शॉर्टकट,
Location,स्थान,
Monday,सोमवार,
Provider,प्रदाता,
Reason,कारण,
Reference DocType,संदर्भ डॉकटाइप,
Reference Name,संदर्भ नाव,
Refresh Token,रिफ्रेश टोकन,
Reload,रीलोड करा,
Revoked,मागे घेतले,
Room,खोली,
Saturday,शनिवारी,
Scopes,स्कोप,
Service,सेवा,
Session Defaults,सत्र डीफॉल्ट,
Source,स्रोत,
Start Time,प्रारंभ वेळ,
Status,स्थिती,
Sunday,रविवारी,
System Manager,प्रणाली व्यवस्थापक,
Thursday,गुरुवारी,
Tuesday,मंगळवारी,
View Website,वेबसाइट पहा,
Wednesday,बुधवारी,
created,तयार,
on_submit,on_submit,
