API,API,
Access Token,Token Akses,
Admin,Admin,
Amended From,Pindaan Dari,
Blocked,disekat,
Cancelled,Dibatalkan,
Closed,Ditutup,
Completed,Siap,
Confirmed,Disahkan,
Date,Tarikh,
Draft,Draf,
Exception Type,Pengecualian Jenis,
Expired,Tamat,
Friday,Jumaat,
Is Active,Adalah aktif,
Keyboard Shortcuts,Pintasan papan kekunci,
Location,Lokasi,
Monday,Isnin,
Provider,Pembekal,
Reason,Sebab,
Reference DocType,Jenis Dokumen Rujukan,
Reference Name,Nama Rujukan,
Refresh Token,Refresh Token,
Reload,Muat semula,
Revoked,Dibatalkan,
Room,bilik,
Saturday,Sabtu,
Scopes,skop,
Service,Perkhidmatan,
Session Defaults,Default Sesi,
Source,Sumber,
Start Time,Waktu Mula,
Status,Status,
Sunday,Ahad,
System Manager,Pengurus Sistem,
Thursday,Khamis,
Tuesday,Selasa,
View Website,Lihat Laman Web,
Wednesday,Rabu,
created,Dibuat,
on_submit,on_submit,
