API,API,
Access Token,Toegang Token,
Admin,beheerder,
Amended From,Gewijzigd Van,
Blocked,Geblokkeerd,
Cancelled,Geannuleerd,
Closed,Gesloten,
Completed,Voltooid,
Confirmed,Bevestigd,
Date,Datum,
Draft,Droogte,
Exception Type,Uitzondering Type,
Expired,Verlopen,
Friday,Vrijdag,
Is Active,Is actief,
Keyboard Shortcuts,Toetsenbord sneltoetsen,
Location,Locatie,
Monday,Maandag,
Provider,leverancier,
Reason,Reden,
Reference DocType,Referentie DocType,
Reference Name,Referentienaam,
Refresh Token,Vernieuwen Token,
Reload,Herladen,
Revoked,herroepen,
Room,Kamer,
Saturday,Zaterdag,
Scopes,scopes,
Service,Service,
Session Defaults,Standaardwaarden sessie,
Source,Bron,
Start Time,Starttijd,
Status,Status,
Sunday,Zondag,
System Manager,System Manager,
Thursday,Donderdag,
Tuesday,Dinsdag,
View Website,Bekijk Website,
Wednesday,Woensdag,
created,Gemaakt,
on_submit,on_submit,
