API,API,
Access Token,Tilgang Token,
Admin,admin,
Amended From,Endret Fra,
Blocked,blokkert,
Cancelled,avbrutt,
Closed,Stengt,
Completed,fullført,
Confirmed,Bekreftet,
Date,Dato,
Draft,utkast,
Exception Type,Unntak Type,
Expired,Utløpt,
Friday,Fredag,
Is Active,Er Aktiv,
Keyboard Shortcuts,Tastatursnarveier,
Location,Beliggenhet,
Monday,Mandag,
Provider,Forsørger,
Reason,Reason,
Reference DocType,Referanse DocType,
Reference Name,referansenavn,
Refresh Token,Refresh Token,
Reload,Last,
Revoked,opphevet,
Room,Rom,
Saturday,Lørdag,
Scopes,scopes,
Service,Tjeneste,
Session Defaults,Økt mislighold,
Source,Source,
Start Time,Starttid,
Status,Status,
Sunday,Søndag,
System Manager,System Manager,
Thursday,Torsdag,
Tuesday,Tirsdag,
View Website,Vis nettstedet,
Wednesday,Onsdag,
created,laget,
on_submit,on_submit,
