API,API,
Access Token,Dostęp za pomocą Tokenu,
Admin,Admin,
Amended From,Zmodyfikowany od,
Blocked,Zablokowany,
Cancelled,Anulowany,
Closed,Zamknięte,
Completed,Zakończono,
Confirmed,Potwierdzone,
Date,Data,
Draft,Wersja robocza,
Exception Type,Typ wyjątku,
Expired,Upłynął,
Friday,Piątek,
Is Active,Aktywny,
Keyboard Shortcuts,Skróty klawiszowe,
Location,Lokacja,
Monday,Poniedziałek,
Provider,Dostawca,
Reason,Powód,
Reference DocType,Odniesienie do DocType,
Reference Name,Nazwa referencyjna,
Refresh Token,Odśwież token,
Reload,Przeładuj,
Revoked,odwołane,
Room,Pokój,
Saturday,Sobota,
Scopes,zakresy,
Service,Usługa,
Session Defaults,Domyślne ustawienia sesji,
Source,Źródło,
Start Time,Czas rozpoczęcia,
Status,Status,
Sunday,Niedziela,
System Manager,System Manager,
Thursday,Czwartek,
Tuesday,Wtorek,
View Website,Zobacz stronę WWW,
Wednesday,Środa,
created,Stworzony,
on_submit,on_submit,
