API,API,
Access Token,د لاسرسي د نښې,
Admin,اداره,
Amended From,تعدیل له,
Blocked,لګېدلی,
Cancelled,لغوه شوی,
Closed,تړل,
Completed,بشپړ شوي,
Confirmed,تاييد شوي,
Date,نېټه,
Draft,مسوده,
Exception Type,استثنا ډول,
Expired,تېر شوی,
Friday,جمعه,
Is Active,آیا د فعالو,
Keyboard Shortcuts,کيلي لنډلار,
Location,د ځای,
Monday,دوشنبه,
Provider,وړاندیز,
Reason,دلیل,
Reference DocType,د ډاټا ډول,
Reference Name,د سرچینې نوم,
Refresh Token,تاندول د نښې,
Reload,Reload,
Revoked,لغوه,
Room,کوټه,
Saturday,شنبه,
Scopes,Scopes,
Service,خدمت,
Session Defaults,د ناستې ټاکل,
Source,سرچینه,
Start Time,د پيل وخت,
Status,وضعیت,
Sunday,یک شنبه,
System Manager,سيستم مدير,
Thursday,پنجشنبه,
Tuesday,سه شنبه,
View Website,محتویات وېب پاڼه,
Wednesday,چهارشنبه,
created,ايجاد,
on_submit,پرسونل,
