API,API,
Access Token,Token de Acesso,
Admin,Administrador,
Amended From,Alterado De,
Blocked,Bloqueado,
Cancelled,Cancelado,
Closed,Fechado,
Completed,Concluído,
Confirmed,Confirmado,
Date,Data,
Draft,Rascunho,
Exception Type,Tipo de exceção,
Expired,Expirado,
Friday,Sexta-feira,
Is Active,É Ativo,
Keyboard Shortcuts,Atalhos do teclado,
Location,Localização,
Monday,Segunda-feira,
Provider,Fornecedor,
Reason,Motivo,
Reference DocType,DocType de Referência,
Reference Name,Nome de Referência,
Refresh Token,Token de Atualização,
Reload,Recarregar,
Revoked,Revogado,
Room,Quarto,
Saturday,Sábado,
Scopes,Scopes,
Service,Serviço,
Session Defaults,Padrões de Sessão,
Source,Fonte,
Start Time,Horário de Início,
Status,Status,
Sunday,Domingo,
System Manager,Administrador do Sistema,
Thursday,Quinta-feira,
Tuesday,Terça-feira,
View Website,Ver  Site,
Wednesday,Quarta-feira,
created,Criado,
on_submit,on_submit,
