API,API,
Access Token,Símbolo de Acesso,
Admin,Administrador,
Amended From,Alterado De,
Blocked,Bloqueado,
Cancelled,Cancelado,
Closed,Fechado,
Completed,Concluído,
Confirmed,Confirmado,
Date,Data,
Draft,"Esboço, projeto",
Exception Type,Tipo de Exceção,
Expired,Expirado,
Friday,Sexta-feira,
Is Active,É Ativa,
Keyboard Shortcuts,Atalhos do teclado,
Location,Localização,
Monday,Segunda-feira,
Provider,Fornecedor,
Reason,Motivo,
Reference DocType,Reference DocType,
Reference Name,nome de referencia,
Refresh Token,token de atualização,
Reload,recarregar,
Revoked,revogada,
Room,Quarto,
Saturday,Sábado,
Scopes,Scopes,
Service,serviço,
Session Defaults,Padrões de Sessão,
Source,Fonte,
Start Time,Hora de início,
Status,Status,
Sunday,Domingo,
System Manager,System Manager,
Thursday,Quinta-feira,
Tuesday,Terça-feira,
View Website,Veja site,
Wednesday,Quarta-feira,
created,Criado,
on_submit,on_submit,
