API,API,
About,О системе,
Access Token,Маркер доступа,
Admin,Администратор,
Amended From,Измененный С,
Blocked,Блокирован,
Cancelled,отменен,
Closed,Закрыт,
Completed,Завершено,
Confirmed,Подтвердил,
Date,Дата,
Draft,Черновик,
Exception Type,Тип исключения,
Expired,Истек срок действия,
Friday,Пятница,
Is Active,Активен,
Keyboard Shortcuts,Горячие клавиши,
Location,Местоположение,
Monday,Понедельник,
My Profile,Мой профиль,
My Settings,Мои настройки,
Provider,Поставщик,
Reason,Причина,
Reference DocType,Ссылка DocType,
Reference Name,Имя ссылки,
Refresh Token,Токен обновления,
Reload,Обновить страницу,
Revoked,Аннулировано,
Room,Комната,
Saturday,Суббота,
Scopes,Области применения,
Service,Услуги,
Session Defaults,Сеансы по умолчанию,
Source,Источник,
Start Time,Стартовое время,
Status,Статус,
Sunday,Воскресенье,
System Manager,Менеджер системы,
Thursday,Четверг,
Toggle Full Width,Переключить ширину,
Toggle Theme,Переключить тему,
Tuesday,Вторник,
View Website,Посмотреть сайт,
Wednesday,Среда,
created,созданный,
on_submit,on_submit,
