API,API,
Access Token,Kwinjira,
Admin,Umuyobozi,
Amended From,Yahinduwe Kuva,
Blocked,Yahagaritswe,
Cancelled,Yahagaritswe,
Closed,Gufunga,
Completed,Byarangiye,
Confirmed,Byemejwe,
Date,Itariki,
Draft,Inyandiko,
Exception Type,Ubwoko Bidasanzwe,
Expired,Byarangiye,
Friday,Ku wa gatanu,
Is Active,Nibikorwa,
Keyboard Shortcuts,Amahinanzira ya Mwandikisho,
Location,Aho biherereye,
Monday,Ku wa mbere,
Provider,Utanga,
Reason,Impamvu,
Reference DocType,Reba Inyandiko,
Reference Name,Izina,
Refresh Token,Fungura Token,
Reload,Ongera usubiremo,
Revoked,Yakuweho,
Room,Icyumba,
Saturday,Ku wa gatandatu,
Scopes,Ibibanza,
Service,Serivisi,
Session Defaults,Isomo risanzwe,
Source,Inkomoko,
Start Time,Igihe cyo Gutangira,
Status,Imiterere,
Sunday,Ku cyumweru,
System Manager,Umuyobozi wa sisitemu,
Thursday,Ku wa kane,
Tuesday,Ku wa kabiri,
View Website,Reba Urubuga,
Wednesday,Ku wa gatatu,
created,yaremye,
on_submit,on_submit,
