API,API,
Access Token,ටෝකනය,
Admin,පරිපාලක,
Amended From,සංශෝධිත වන සිට,
Blocked,ඇහිරීම,
Cancelled,අවලංගු කළා,
Closed,වසා,
Completed,සම්පූර්ණ කරන ලද,
Confirmed,තහවුරු,
Date,දිනය,
Draft,කෙටුම්පත,
Exception Type,ව්යතිරේක වර්ගය,
Expired,කල් ඉකුත්,
Friday,සිකුරාදා,
Is Active,ක්රියාකාරී වේ,
Keyboard Shortcuts,යතුරුපුවරු කෙටිමං,
Location,ස්ථානය,
Monday,සදුදා,
Provider,සපයන්නා,
Reason,හේතුව,
Reference DocType,යොමු ලේඛනය,
Reference Name,යොමු නම,
Refresh Token,නැවුම් කරන්න ටෝකනය,
Reload,රීලෝඩ්,
Revoked,අවලංගු,
Room,කාමරය,
Saturday,සෙනසුරාදා,
Scopes,විෂය පථ,
Service,සේවය,
Session Defaults,සැසි පෙරනිමි,
Source,මූලාශ්රය,
Start Time,ආරම්භක වේලාව,
Status,තත්ත්වය,
Sunday,ඉරිදා,
System Manager,පද්ධතිය කළමනාකරු,
Thursday,බ්රහස්පතින්දා,
Tuesday,අඟහරුවාදා,
View Website,දැක්ම වෙබ් අඩවිය,
Wednesday,බදාදා,
created,නිර්මාණය,
on_submit,සිහිකැඳවයි,
