API,API,
Access Token,Přístupový Token,
Admin,admin,
Amended From,Platném znění,
Blocked,upchatý,
Cancelled,ZRUŠENÉ,
Closed,Zavreté,
Completed,Dokončeno,
Confirmed,Potvrdené,
Date,Dátum,
Draft,Návrh,
Exception Type,Typ výnimky,
Expired,Vypršela,
Friday,Pátek,
Is Active,Je Aktívny,
Keyboard Shortcuts,Klávesové skratky,
Location,Místo,
Monday,Pondělí,
Provider,poskytovateľ,
Reason,Dôvod,
Reference DocType,Referenčný DocType,
Reference Name,Referenčný názov,
Refresh Token,obnoviť Token,
Reload,Znovu načítať,
Revoked,zrušená,
Room,izbu,
Saturday,Sobota,
Scopes,Scopes,
Service,Služba,
Session Defaults,Predvolené hodnoty relácie,
Source,Zdroj,
Start Time,Start Time,
Status,Stav,
Sunday,Nedeľa,
System Manager,Správca systému,
Thursday,Čtvrtek,
Tuesday,Úterý,
View Website,Prejsť na webstránku,
Wednesday,Středa,
created,Vytvorené,
on_submit,on_submit,
