API,API,
Access Token,Dostopni žeton,
Admin,Admin,
Amended From,Spremenjeni Od,
Blocked,blokiran,
Cancelled,Prekinjeno,
Closed,Zaprto,
Completed,Končano,
Confirmed,Potrjen,
Date,Datum,
Draft,Osnutek,
Exception Type,Izjema Type,
Expired,Potekel,
Friday,Petek,
Is Active,Je aktiven,
Keyboard Shortcuts,Bližnjice na tipkovnici,
Location,Kraj,
Monday,Ponedeljek,
Provider,Ponudnik,
Reason,Razlog,
Reference DocType,Referenčni DocType,
Reference Name,Referenčno ime,
Refresh Token,Osveži Token,
Reload,Osveži,
Revoked,prekliče,
Room,soba,
Saturday,Sobota,
Scopes,področji,
Service,Storitev,
Session Defaults,Privzete seje,
Source,Vir,
Start Time,Začetni čas,
Status,Stanje,
Sunday,Nedelja,
System Manager,System Manager,
Thursday,Četrtek,
Tuesday,Torek,
View Website,View Website,
Wednesday,Sreda,
created,Ustvarjeno,
on_submit,on_submit,
