API,API,
Access Token,Qasja Token,
Admin,admin,
Amended From,Ndryshuar Nga,
Blocked,i bllokuar,
Cancelled,ANULOHET,
Closed,Mbyllur,
Completed,I përfunduar,
Confirmed,I konfirmuar,
Date,Data,
Draft,draft,
Exception Type,Exception Lloji,
Expired,Skaduar,
Friday,E premte,
Is Active,Është Aktiv,
Keyboard Shortcuts,Shkurtoret e tastierës,
Location,Vend,
Monday,E hënë,
Provider,Provider,
Reason,Arsye,
Reference DocType,Doktipi i referencës,
Reference Name,Emri i Referencës,
Refresh Token,Refresh Token,
Reload,Rifresko,
Revoked,revokohet,
Room,dhomë,
Saturday,E shtunë,
Scopes,Scopes,
Service,Shërbim,
Session Defaults,Default Seanca,
Source,Burim,
Start Time,Koha e fillimit,
Status,Gjendje,
Sunday,E diel,
System Manager,Sistemi Menaxher,
Thursday,E enjte,
Tuesday,E martë,
View Website,Shikoni faqen e internetit,
Wednesday,E mërkurë,
created,krijuar,
on_submit,on_submit,
