API,АПИ,
About,O Nama,
Access Token,Приступ токен,
Admin,Админ,
Amended From,Izmijenjena iz,
Blocked,блокиран,
Cancelled,Otkazan,
Closed,Zatvoreno,
Completed,Završeno,
Confirmed,Потврђен,
Date,Datum,
Draft,Na čekanju,
Exception Type,Екцептион,
Expired,Истекло,
Friday,Петак,
Is Active,Je aktivan,
Keyboard Shortcuts,Пречице на тастатури,
Location,расположение,
Monday,Понедељак,
My Settings,Moja podešavanja,
Provider,Провајдер,
Reason,Разлог,
Reference DocType,Референца ДоцТипе,
Reference Name,Референтно име,
Refresh Token,рефресх токен,
Reload,Učitaj ponovo,
Revoked,Ревокед,
Room,соба,
Saturday,Субота,
Scopes,сцопес,
Service,служба,
Session Defaults,Задане поставке сесије,
Source,Извор,
Start Time,Почетак Време,
Status,Status,
Sunday,Недеља,
System Manager,Menadžer sistema,
Thursday,Четвртак,
Timezone,Vremenska zona,
Tuesday,Уторак,
View Website,Pogledaj sajt,
Wednesday,Среда,
created,Направљено,
on_submit,он_субмит,
