API,API,
About,Om,
Access Token,Åtkomst Token,
Admin,Administration,
Amended From,Ändrad Från,
Apps,Appar,
Blocked,Spärrad,
Cancelled,Annullerad,
Closed,Stängd,
Completed,Klar,
Confirmed,Bekräftad,
Date,Datum,
Draft,Utkast,
Exception Type,Undantag Typ,
Expired,Utgången,
Frappe Support,Frappe Support,
Friday,Fredag,
Is Active,Är Aktiv,
Keyboard Shortcuts,Kort Kommando,
Location,Plats,
Log out,Logga Ut,
Monday,Måndag,
My Profile,Min Profil,
My Settings,Mina Inställningar,
Provider,Leverantör,
Reason,Anledning,
Reference DocType,Referens DocType,
Reference Name,Referens Namn,
Refresh Token,Uppdatera Token,
Reload,Ladda om,
Revoked,Återkallad,
Room,Rum,
Saturday,Lördag,
Scopes,Omfattningar,
Service,Service,
Session Defaults,Session Inställningar,
Source,Från,
Start Time,Start Tid,
Status,Status,
Sunday,Söndag,
System Manager,System Ansvarig,
Thursday,Torsdag,
Toggle Full Width,Växla Full Bredd,
Toggle Theme,Växla Tema,
Tuesday,Tisdag,
View Website,Visa Webbplats,
Wednesday,Onsdag,
created,skapad,
failed,misslyckad,
on_submit,på_godkänn,
