API,API,
Access Token,Tokia ya Upatikanaji,
Admin,Admin,
Amended From,Imebadilishwa Kutoka,
Blocked,Imezuiwa,
Cancelled,Kuweza,
Closed,Ilifungwa,
Completed,Imekamilishwa,
Confirmed,Imethibitishwa,
Date,Tarehe,
Draft,Rasimu,
Exception Type,Aina ya Ufikiaji,
Expired,Imekufa,
Friday,Ijumaa,
Is Active,Ni Kazi,
Keyboard Shortcuts,Njia za mkato za kibodi,
Location,Eneo,
Monday,Jumatatu,
Provider,Mtoa huduma,
Reason,Sababu,
Reference DocType,Aina ya Hati ya Marejeo,
Reference Name,Jina la Marejeleo,
Refresh Token,Rejea Kitambulisho,
Reload,Pakia tena,
Revoked,Ilipigwa,
Room,Chumba,
Saturday,Jumamosi,
Scopes,Vipimo,
Service,Huduma,
Session Defaults,Defavers ya Kikao,
Source,Chanzo,
Start Time,Anza Muda,
Status,Hali,
Sunday,Jumapili,
System Manager,Meneja wa Mfumo,
Thursday,Alhamisi,
Tuesday,Jumanne,
View Website,Tazama Tovuti,
Wednesday,Jumatano,
created,imeundwa,
on_submit,juu ya_kutuma,
