API,API,
Access Token,ప్రాప్తి టోకెన్,
Admin,అడ్మిన్,
Amended From,సవరించిన,
Blocked,నిరోధిత,
Cancelled,రద్దు,
Closed,ముగించబడినది,
Completed,పూర్తయింది,
Confirmed,ధృవీకరించబడిన,
Date,తేదీ,
Draft,డ్రాఫ్ట్,
Exception Type,అసాధారణ పరిస్థితి రకాన్ని,
Expired,గడువు,
Friday,శుక్రవారం,
Is Active,చురుకుగా ఉంది,
Keyboard Shortcuts,కీబోర్డ్ సత్వరమార్గాలు,
Location,నగర,
Monday,సోమవారం,
Provider,ప్రొవైడర్,
Reason,కారణము,
Reference DocType,రిఫరెన్స్ డాక్ టైప్,
Reference Name,సూచన పేరు,
Refresh Token,రిఫ్రెష్ టోకెన్,
Reload,Reload,
Revoked,ఉపసంహరించబడింది,
Room,గది,
Saturday,శనివారం,
Scopes,స్కోప్స్,
Service,సర్వీస్,
Session Defaults,సెషన్ డిఫాల్ట్‌లు,
Source,మూల,
Start Time,ప్రారంభ సమయం,
Status,స్థితి,
Sunday,ఆదివారం,
System Manager,వ్యవస్థ మేనేజర్,
Thursday,గురువారం,
Tuesday,మంగళవారం,
View Website,చూడండి వెబ్సైట్,
Wednesday,బుధవారం,
created,రూపొందించబడింది,
on_submit,on_submit,
