API,API,
Access Token,เข้าสู่ Token,
Admin,ผู้ดูแลระบบ,
Amended From,แก้ไขเพิ่มเติมจาก,
Blocked,อุดตัน,
Cancelled,ยกเลิก,
Closed,ปิด,
Completed,เสร็จ,
Confirmed,ได้รับการยืนยัน,
Date,วันที่,
Draft,ร่าง,
Exception Type,ประเภทยกเว้น,
Expired,หมดอายุ,
Friday,วันศุกร์,
Is Active,มีการใช้งาน,
Keyboard Shortcuts,แป้นพิมพ์ลัด,
Location,ตำแหน่ง,
Monday,วันจันทร์,
Provider,ผู้ให้บริการ,
Reason,เหตุผล,
Reference DocType,DocType อ้างอิง,
Reference Name,ชื่ออ้างอิง,
Refresh Token,รีเฟรช Token,
Reload,โหลด,
Revoked,เพิกถอน,
Room,ห้อง,
Saturday,วันเสาร์,
Scopes,ขอบเขต,
Service,บริการ,
Session Defaults,ค่าเริ่มต้นของเซสชัน,
Source,แหล่ง,
Start Time,เวลา,
Status,สถานะ,
Sunday,วันอาทิตย์,
System Manager,จัดการระบบ,
Thursday,วันพฤหัสบดี,
Tuesday,วันอังคาร,
View Website,ดูเว็บไซต์,
Wednesday,วันพุธ,
created,ที่สร้างไว้,
on_submit,on_submit,
