API,API,
About,Hakkında,
Access Token,Erişim Anahtarı,
Amended From,Değiştirildi,
Apps,Uygulamalar,
Blocked,Engellendi,
Cancelled,İptal edildi,
Closed,Kapandı,
Completed,Tamamlandı,
Confirmed,Onaylandı,
Date,Tarih,
Draft,Taslak,
Expired,Günü Geçmiş,
Frappe Support,Frappe Desteği,
Friday,Cuma,
Is Active,Aktif,
Keyboard Shortcuts,Klavye Kısayolları,
Location,Konum,
Log out,Çıkış,
Monday,Pazartesi,
My Profile,Profilim,
My Settings,Ayarlarım,
Provider,Sağlayıcı,
Reason,Nedeni,
Reference DocType,Referans DocType,
Reference Name,Referans Adı,
Refresh Token,Token Yenile,
Reload,Yeniden Yükle,
Saturday,Cumartesi,
Scopes,Kapsamlar,
Service,Hizmet,
Session Defaults,Oturum Varsayılanları,
Source,Kaynak,
Start Time,Başlangıç Zamanı,
Status,Durum,
Sunday,Pazar,
System Manager,Sistem Yöneticisi,
Thursday,Perşembe,
Toggle Full Width,Geniş Görünüm,
Toggle Theme,Temayı Değiştir,
Tuesday,Salı,
View Website,Websitesine Git,
Wednesday,Çarşamba,
failed,başarısız oldu,
