API,API,
Access Token,رسائی کا ٹوکن,
Admin,ایڈمن,
Amended From,سے ترمیم شدہ,
Blocked,کریں,
Cancelled,منسوخ,
Closed,بند,
Completed,مکمل,
Confirmed,اس بات کی تصدیق,
Date,تاریخ,
Draft,ڈرافٹ,
Exception Type,رعایت کی قسم,
Expired,میعاد ختم ہوگئی,
Friday,جمعہ,
Is Active,فعال ہے,
Keyboard Shortcuts,کی بورڈ شارٹ کٹس,
Location,مقام,
Monday,پیر,
Provider,فراہم کنندہ,
Reason,وجہ,
Reference DocType,حوالہ ڈاکٹائپ,
Reference Name,نام کا حوالہ,
Refresh Token,تازہ کریں ٹوکن,
Reload,دوبارہ,
Revoked,منسوخ,
Room,کمرہ,
Saturday,ہفتہ,
Scopes,اسکوپ,
Service,سروس,
Session Defaults,سیشن ڈیفالٹس,
Source,ماخذ,
Start Time,وقت آغاز,
Status,سٹیٹس,
Sunday,اتوار,
System Manager,سسٹم مینیجر,
Thursday,جمعرات,
Tuesday,منگل,
View Website,سائٹ,
Wednesday,بدھ,
created,تخلیق,
on_submit,on_submit,
