API,API,
Access Token,Kirish tokeni,
Admin,Admin,
Amended From,O&#39;zgartirishlar,
Blocked,Bloklangan,
Cancelled,BEKOR QILISH,
Closed,Yopiq,
Completed,Tugallandi,
Confirmed,Tasdiqlangan,
Date,Sana,
Draft,Loyihalar,
Exception Type,Istisno turi,
Expired,Muddati o&#39;tgan,
Friday,Juma kuni,
Is Active,Faol,
Keyboard Shortcuts,Klaviatura yorliqlari,
Location,Manzil,
Monday,Dushanba,
Provider,Provajder,
Reason,Sabab,
Reference DocType,DocType ma&#39;lumotnomasi,
Reference Name,Malumot nomi,
Refresh Token,Qayta tiklash,
Reload,Qayta yuklash,
Revoked,Bekor qilindi,
Room,Xona,
Saturday,Shanba,
Scopes,Maydonlar,
Service,Xizmat,
Session Defaults,Sessiya standartlari,
Source,Manba,
Start Time,Boshlanish vaqti,
Status,Holat,
Sunday,yakshanba,
System Manager,Tizim menejeri,
Thursday,Payshanba,
Tuesday,Seshanba,
View Website,Veb-saytni ko&#39;rish,
Wednesday,Chorshanba,
created,Yaratildi,
on_submit,on_submit,
