API,API,
Access Token,Mã truy cập,
Admin,quản trị viên,
Amended From,Sửa đổi Từ,
Blocked,Đã ngăn lại,
Cancelled,HỦY BỎ,
Closed,Đã đóng,
Completed,Hoàn thành,
Confirmed,Xác nhận,
Date,Ngày,
Draft,Bản nháp,
Exception Type,Loại ngoại lệ,
Expired,Hết hạn,
Friday,Thứ sáu,
Is Active,Là hoạt động,
Keyboard Shortcuts,Các phím tắt bàn phím,
Location,Vị trí,
Monday,Thứ Hai,
Provider,Các nhà cung cấp,
Reason,Nguyên nhân,
Reference DocType,Tham khảo DocType,
Reference Name,Tên tham chiếu,
Refresh Token,Thông báo làm mới,
Reload,Nạp lại,
Revoked,bị thu hồi,
Room,Phòng,
Saturday,Thứ bảy,
Scopes,scopes,
Service,Dịch vụ,
Session Defaults,Mặc định phiên,
Source,Nguồn,
Start Time,Thời gian bắt đầu,
Status,Trạng thái,
Sunday,Chủ Nhật,
System Manager,Hệ thống quản lý,
Thursday,Thứ năm,
Tuesday,Thứ ba,
View Website,Xem trang web,
Wednesday,Thứ tư,
created,tạo,
on_submit,on_submit,
