API,API,
About,关于,
Access Token,访问令牌,
Admin,管理員,
Amended From,修订自,
Apps,应用,
Blocked,已屏蔽,
Cancelled,已取消,
Closed,已关闭,
Completed,已完成,
Confirmed,已确认,
Date,日期,
Draft,草稿,
Exception Type,異常類型,
Expired,已过期,
Frappe Support,Frappe支持,
Friday,星期五,
Is Active,是否激活,
Keyboard Shortcuts,键盘快捷键,
Location,位置,
Log out,注销,
Monday,周一,
My Profile,我的档案,
My Settings,我的设置,
Provider,供应商,
Reason,原因,
Reference DocType,参考文档类型,
Reference Name,参考名称,
Refresh Token,刷新令牌,
Reload,重新加载,
Revoked,已撤销,
Room,房間,
Saturday,星期六,
Scopes,作用域列表,
Service,服务,
Session Defaults,会话默认值,
Source,源,
Start Time,开始时间,
Status,状态,
Sunday,星期日,
System Manager,系统管理员,
Thursday,星期四,
Timezone,時區,
Toggle Full Width,切换全宽模式,
Toggle Theme,切换主题,
Tuesday,星期二,
View Website,查看网站,
Wednesday,星期三,
created,创建,
failed,失败,
on_submit,提交时,
